time,node_0_x,node_0_y,node_0_z,node_1_x,node_1_y,node_1_z,node_2_x,node_2_y,node_2_z,node_3_x,node_3_y,node_3_z,node_4_x,node_4_y,node_4_z,node_5_x,node_5_y,node_5_z,node_6_x,node_6_y,node_6_z,node_7_x,node_7_y,node_7_z,node_8_x,node_8_y,node_8_z,node_9_x,node_9_y,node_9_z,node_10_x,node_10_y,node_10_z,node_11_x,node_11_y,node_11_z,node_12_x,node_12_y,node_12_z,node_13_x,node_13_y,node_13_z,node_14_x,node_14_y,node_14_z,node_15_x,node_15_y,node_15_z,node_16_x,node_16_y,node_16_z,node_17_x,node_17_y,node_17_z,node_18_x,node_18_y,node_18_z,node_19_x,node_19_y,node_19_z
0.0,3.81630694385425e-18,8.33565123392957e-18,-1.3105293759918535e-17,0.023011437460240012,2.4803899982402262e-05,-3.7568268737265836e-05,0.04599749223197296,-0.0002179572177923813,-0.001039080342871315,0.06895464054310288,-0.0006317900022703831,-0.0025217285003442673,0.09187078980388282,-0.0012340068807259706,-0.004485438289748678,0.11473297588004086,-0.0020378797556236685,-0.006940838075160815,0.13752643750108817,-0.0030413191873137277,-0.009914142694480786,0.1602324724179317,-0.004219864742810607,-0.01345722796035976,0.18282784397587845,-0.0055460944494910985,-0.01763701520192529,0.2052906139430537,-0.007038827978641203,-0.022488621326862503,0.22761095702704154,-0.008800979333448039,-0.027962136097452652,0.24979514279106846,-0.010987288377206847,-0.033922491191847176,0.27185559129940484,-0.013695285597293421,-0.04022550316901733,0.29379694113183313,-0.01685592761955609,-0.04681567999964394,0.31561029983277955,-0.020222123944507862,-0.05375584168094325,0.33727902732321097,-0.023479375711418025,-0.061153599565336274,0.35879609366584514,-0.026401543190092216,-0.06904574218821885,0.3801823859082122,-0.028939725203242284,-0.07733933811362913,0.40148379434871595,-0.031189107797341784,-0.08585594748066323,0.42274030162704784,-0.03327053842420686,-0.09444698965847102
0.01,1.374056847035926e-17,-1.964481162919536e-18,-6.131840911763331e-17,0.023042188086239212,-6.8661801083569124e-06,-0.0001784886418033348,0.04603929344132023,-0.000287145910290326,-0.0015838224453328937,0.06900425448158481,-0.0007042170990611625,-0.0034814748272367587,0.09192982597355928,-0.001253846095056792,-0.005836062168855061,0.11480669224683572,-0.0019480311358073409,-0.008653071896799572,0.13762163584965015,-0.002818060644924694,-0.01196627953863585,0.16035610445205578,-0.003909150459448194,-0.015829847301506814,0.18298798571512034,-0.0052817250450736125,-0.020296114092896615,0.2055006391343044,-0.007026345878429615,-0.025364594626396748,0.2278962220384077,-0.009264855409343718,-0.030929602462263235,0.25020176109798437,-0.012095271721846898,-0.03678544466652755,0.27246149179244833,-0.015484980958782325,-0.04271456159465959,0.2947205649997508,-0.01919104163342747,-0.04860359269930071,0.31700512762155136,-0.02279857928966425,-0.05449068280723446,0.33930645867333536,-0.025886070773877945,-0.06050133851390262,0.3615868219687996,-0.02822002798626348,-0.06673087833711391,0.38380747792563635,-0.029847471048302883,-0.07317397697384795,0.40594818271065125,-0.031024515009522954,-0.07975115381080332,0.4279973418374679,-0.032032141102541906,-0.08640274981581761
0.02,5.0381519702685784e-17,-1.0798611286308261e-18,-9.447466680495564e-17,0.023153872635621082,-9.093824795019915e-07,-0.00027820649665103293,0.04621490092087471,-0.00018769700394257352,-0.002163576077467277,0.06923140299982257,-0.0004744466542770068,-0.004662695573983162,0.09219833016808963,-0.0008988869857043662,-0.007694866908246206,0.11510940273116703,-0.0015380879198011183,-0.011220314864570384,0.13795538205849497,-0.0024926648032491026,-0.015223096700571419,0.16072495891477742,-0.0038550605362684324,-0.019698130076885728,0.18341076717212743,-0.005687183240723433,-0.02462661921870775,0.20602103915809833,-0.008026141911409079,-0.02992851339752863,0.22858938629320685,-0.010896880614453203,-0.03541938339366459,0.2511715381052041,-0.014284486086443053,-0.040827889220183856,0.273828304833855,-0.01805751131634836,-0.04589614755252256,0.2966047069209376,-0.02190892173261956,-0.05050538863801343,0.31951028442228185,-0.025401984447925064,-0.05472776720600011,0.34250598412758293,-0.02813372341448417,-0.0587594005540422,0.36551485454114135,-0.029922368943937423,-0.06279116212818167,0.3884577441451197,-0.03088725159739646,-0.06691938806445755,0.4112818981293334,-0.03135936349889629,-0.0711523070176149,0.43395890374391977,-0.031677091287505614,-0.07548829326972352
0.03,1.307683345289079e-16,3.919052040356197e-17,-1.3971300245191332e-16,0.02339650660595384,0.0001196125482166552,-0.0004162425214190463,0.046594800262772164,0.0001244151461093018,-0.0029757055154010946,0.06971353289448799,-5.5251337249838546e-05,-0.006338490757857432,0.09275049845332183,-0.0005196287839789657,-0.010351837244532335,0.11570936062080411,-0.0013806567383443545,-0.014886732850784675,0.13859846239611776,-0.0027358520050411975,-0.019822179973164124,0.16143277428883152,-0.004634579216252148,-0.025039086787735015,0.18423898616104,-0.007064060811207098,-0.030407775339327713,0.2070603598381666,-0.009972389419467894,-0.035755405560806364,0.22995333791337957,-0.013302416348299926,-0.04083606504972997,0.2529719849263213,-0.016982301231224944,-0.04535575950772341,0.27614976989691,-0.02085796413292365,-0.04907378270173561,0.29949114172335306,-0.024631985215499724,-0.05192388809761663,0.3229687056214644,-0.02789927484105817,-0.0540573965286941,0.3465190422362186,-0.030297982960490445,-0.055764515442753244,0.37005106389908227,-0.031686972617938194,-0.05733123066613401,0.3934754536892123,-0.032220043593472546,-0.05893610836188501,0.41673135155517915,-0.032254056261086954,-0.06064723963871951,0.43978799813314107,-0.03214334351790467,-0.06249719669456461
0.04,2.585822181377928e-16,7.291937236322821e-17,-2.325613659981407e-16,0.023780723032251004,0.0002171559439963715,-0.0006977459153377809,0.04717707391719645,0.0002533907484636761,-0.004246672845394603,0.07043321775820706,-3.08782130523071e-05,-0.008778877810986102,0.09356255686996257,-0.0007583891751801108,-0.014017721509050904,0.11659691896770219,-0.00202436238504033,-0.01970430671280149,0.13958107285561577,-0.003876936702517096,-0.025587921992185392,0.16256880991349132,-0.006297560760088988,-0.031430055805015476,0.18561963791794578,-0.009203706203516106,-0.03700370111106357,0.20879288699000031,-0.012486184955782123,-0.04207200744360367,0.2321344659038412,-0.01605214797374603,-0.04636624942570477,0.2556595206577773,-0.01981925833356826,-0.049612892053055406,0.2793462549121589,-0.023646895288422703,-0.051629948188267966,0.3031493588615919,-0.027269152015349428,-0.052436367818558025,0.3270150869378005,-0.030320583324898596,-0.05227980459766289,0.3508791181475003,-0.03247581848628192,-0.0515439572245302,0.37466236095884925,-0.033618680920134245,-0.05059512398667694,0.3982859401881711,-0.03391422769351935,-0.04967216968376518,0.4216929367359206,-0.033720297347027604,-0.04888100979927647,0.4448550960453529,-0.033387276577850046,-0.048271370154110184
0.05,4.253325122660634e-16,5.686640394686471e-17,-3.9193908535350985e-16,0.024281044367301885,0.000166621808939957,-0.0011768666670017142,0.047904258535638504,-7.371687501347396e-05,-0.006006663231231898,0.07131139484034686,-0.0007254551554185316,-0.011916630957308738,0.09455646364742347,-0.0018814609707691913,-0.01846448329491221,0.11772042572329137,-0.0035967839253380645,-0.025249899646004936,0.14089287724646038,-0.005875285780308398,-0.031906089338184986,0.16415779633877156,-0.008658443954931575,-0.0381060082491765,0.1875829139985588,-0.0118351685389201,-0.043564702131518314,0.21120994121881392,-0.01528235000739385,-0.048021841624535835,0.23504206320141033,-0.018907231415458595,-0.05122300693847765,0.259035122431565,-0.02263943201482341,-0.05294640743554341,0.2831092331109879,-0.026360386725768827,-0.05309179432492127,0.307182795589881,-0.029834020449055382,-0.05177474672395462,0.33119838231011955,-0.03272716913858617,-0.04933698462304369,0.3551141823478935,-0.034740840055764825,-0.04624145569794868,0.37888144876262847,-0.03577192575952884,-0.04291396185479449,0.4024429074485952,-0.03598359191616621,-0.0396325368188859,0.42575024113488896,-0.03572186129528281,-0.03652369973149299,0.4487779502055516,-0.035323471703938424,-0.03364275054690199
0.06,6.128994881060557e-16,-9.43086483472938e-18,-5.983169688861256e-16,0.024843706946907653,-3.200276279504351e-05,-0.001794308419252496,0.048693687683053606,-0.0008000306746121425,-0.00799170093607754,0.07225672181512773,-0.0020081323800869148,-0.015267680819583527,0.09564956850925185,-0.0036847606589783693,-0.023009003980525942,0.11901046770623927,-0.005840147924443335,-0.030689671829920797,0.1424649581333053,-0.008452323354080053,-0.03785555430301703,0.1661044732560823,-0.011454584105834439,-0.044125814406186056,0.1899757806935868,-0.01474262852792194,-0.04919291709086167,0.21407641499295058,-0.018210470502849154,-0.05280507914188619,0.23835092104450104,-0.02178715842060662,-0.05474803514032076,0.26269490703166254,-0.02542481304996443,-0.05486936503619135,0.28698344895794864,-0.029027567102400568,-0.05315829333974151,0.31111969653053556,-0.03238334303638807,-0.049823963131631996,0.33506371028044923,-0.03518275492543274,-0.04528934281925262,0.35881197509601254,-0.03714453199462664,-0.040077484985337364,0.3823551416427127,-0.038170592339628925,-0.034652932732614786,0.40566123279558014,-0.038414662708626715,-0.029314695613439773,0.42869077042497605,-0.038204134615793264,-0.02419653884550414,0.4514192199875748,-0.03785709117718622,-0.01935124043622986
0.07,7.967801765595972e-16,-1.0028870095490916e-16,-8.032853895945102e-16,0.025394908836913577,-0.00030285678411859894,-0.0024056052872776616,0.049461493909314855,-0.001691682552075331,-0.009771483648921508,0.07319181561044627,-0.0035182582719757867,-0.018148010692497767,0.09676765150783914,-0.005738302913193883,-0.026782995695029448,0.12037466172292217,-0.008319550375748271,-0.03505570509477453,0.14415646329438536,-0.011223652881447424,-0.04245198841043754,0.16819189861997924,-0.014388818973216588,-0.04856057174620804,0.1924902391301422,-0.017731230824494286,-0.05307083385786148,0.2169962517735824,-0.02117390986937963,-0.055754508889249106,0.24159757962517409,-0.02467603961126104,-0.05644653754782565,0.2661412158450545,-0.028216142949779435,-0.05506565309382553,0.29047494949344527,-0.03172075408101512,-0.051684576532297515,0.3145045887972517,-0.03499856897208357,-0.046593265761845734,0.33822048138839994,-0.0377595475265716,-0.04027887901372619,0.3616632788015017,-0.03973583521928844,-0.03330625673205384,0.38486367682504824,-0.04083065852424518,-0.026161815832681307,0.4078132898615485,-0.04118499820178102,-0.019152051499224207,0.4304792264551798,-0.04110461822245712,-0.01240871748353524,0.452835503351349,-0.04088672794740574,-0.005976979824266461
0.08,9.504116244007932e-16,-1.8726882024255875e-16,-9.535558107010011e-16,0.02585475111045073,-0.0005620147613219911,-0.0028533248408686837,0.05012704757242134,-0.0025193006242666565,-0.010948968043669929,0.07404036561392838,-0.004913875711890304,-0.019963721008878096,0.09782134893650041,-0.007639915591180321,-0.029060042578926925,0.121681770584537,-0.010628722536326348,-0.03755977167350737,0.1457670138752432,-0.01382687403495555,-0.04491290502893965,0.170135181428505,-0.017175365564428165,-0.050691884542958594,0.1947587395739164,-0.02060693148976618,-0.05458924138278222,0.21953813499768046,-0.024069227819818285,-0.05639944245897644,0.24431823220890017,-0.027547592491368178,-0.05599912648970958,0.2689142894025982,-0.031043669007876355,-0.05336456012254721,0.2931625151569971,-0.03450381476830631,-0.04863385662107054,0.31698182744898284,-0.03775561568739947,-0.04215794658726585,0.3403959199971208,-0.040527310583286125,-0.03446954957101902,0.3634864670544259,-0.04256433874411597,-0.026159734072750813,0.3863184101787975,-0.04377192465867531,-0.017724821550556834,0.40890184724704826,-0.044279337239242766,-0.009470349752240103,0.4312072822602307,-0.04437160491241835,-0.0015209213735528893,0.4532052925332946,-0.044325684692990766,0.006088096841389041
0.09,1.0512424264419451e-15,-2.5139937874507634e-16,-1.0147048132291836e-15,0.026155973399050382,-0.0007531947455745481,-0.0030343919801194704,0.05061199431916785,-0.0031441358511680333,-0.011302207362677997,0.07471064770785057,-0.005990293978129311,-0.020401312317915744,0.09869144023092634,-0.009143650080213757,-0.02946688598558948,0.12276819926144551,-0.01250788827359329,-0.03780168726658501,0.14707697987036597,-0.01601443151700971,-0.04484367636330148,0.17165727903444555,-0.019600296209825382,-0.05016097702488122,0.19645730449028034,-0.0232038461758543,-0.05345055280231016,0.22135174331128102,-0.026784860325733392,-0.05452095665195335,0.24616274830458562,-0.03034297204714784,-0.0532732518264967,0.27069146529964844,-0.03389330356433547,-0.049717724262381094,0.29477427561012826,-0.03739535181733263,-0.04403173665769276,0.31834677548187207,-0.0406919456325155,-0.03660268907175432,0.3414615397101242,-0.04352874292858966,-0.027989343094851366,0.3642318388028045,-0.04566605764739825,-0.018795446008163234,0.38674698066874125,-0.04701462489710851,-0.009518633918603891,0.4090286420033212,-0.04769659156062895,-0.00045843247615724703,0.431047476290787,-0.04798082188084344,0.008270144647432497,0.4527694684524202,-0.0481275984333614,0.016641833076046376
