time_ns,time_s,q0,q1,q2,q3,q4,q5
1778147909521135384,1778147909.5211356,-2.2685049215899866,-0.9850269717029114,-1.9157803058624268,-1.238261805181839,1.017577052116394,0.7406228184700012
1778147909536993136,1778147909.536993,-2.268416706715719,-0.9849632543376465,-1.9157720804214478,-1.23829801500354,1.01755690574646,0.7406347393989563
1778147909558705507,1778147909.5587056,-2.2684691588031214,-0.984967367058136,-1.9157122373580933,-1.2382658881000062,1.0175533294677734,0.7406263947486877
1778147909576342997,1778147909.576343,-2.2684810797320765,-0.9849352997592469,-1.9157843589782715,-1.2382986110499878,1.0176334381103516,0.7406555414199829
1778147909596418710,1778147909.5964189,-2.268489662800924,-0.9849628371051331,-1.915788173675537,-1.2383067172816773,1.0175650119781494,0.740638792514801
1778147909616459686,1778147909.6164598,-2.2684810797320765,-0.9850112956813355,-1.9157683849334717,-1.2382457119277497,1.0175728797912598,0.740626335144043
1778147909636366341,1778147909.6363664,-2.2684887091266077,-0.9849829834750672,-1.915820598602295,-1.238233820801117,1.0175158977508545,0.7405985593795776
1778147909656305742,1778147909.6563058,-2.2685135046588343,-0.984998421078064,-1.9157683849334717,-1.2382498544505616,1.0175728797912598,0.7406263947486877
1778147909676468838,1778147909.6764688,-2.268533531819479,-0.9850590390018006,-1.915764331817627,-1.238245741730072,1.01759672164917,0.7405985593795776
1778147909696667552,1778147909.6966677,-2.268496338521139,-0.9850389522365113,-1.915812373161316,-1.238234208231308,1.0175888538360596,0.7406108975410461
1778147909716317515,1778147909.7163177,-2.268529240285055,-0.9850793045810242,-1.9158004522323608,-1.2382062834552308,1.01759672164917,0.7406228184700012
1778147909736375650,1778147909.7363756,-2.268508259450094,-0.9850834173015137,-1.9157397747039795,-1.2382062834552308,1.017608642578125,0.7406228184700012
1778147909756422124,1778147909.7564223,-2.2685373465167444,-0.9850507539561768,-1.9157278537750244,-1.2382103961757203,1.0176210403442383,0.740578830242157
1778147909776567337,1778147909.7765675,-2.268496338521139,-0.9850834173015137,-1.915772557258606,-1.2382021707347413,1.017592430114746,0.7405710220336914
1778147909796456906,1778147909.796457,-2.2685373465167444,-0.9850389522365113,-1.9157443046569824,-1.238178328876831,1.0176010131835938,0.7406150102615356
1778147909816518071,1778147909.8165183,-2.268512550984518,-0.9850709599307557,-1.9157766103744507,-1.2382027369788666,1.017633318901062,0.7406030893325806
1778147909836458528,1778147909.8364587,-2.2685702482806605,-0.9850751918605347,-1.9157283306121826,-1.2382022005370636,1.017624855041504,0.7406030893325806
1778147909856404451,1778147909.8564045,-2.268528763447897,-0.9850994509509583,-1.9157323837280273,-1.2381742161563416,1.017641544342041,0.7405508756637573
1778147909876374325,1778147909.8763745,-2.2685211340533655,-0.9850877088359375,-1.9156599044799805,-1.2381575268558045,1.0175848007202148,0.7405627965927124
1778147909896382246,1778147909.8963823,-2.2685368696795862,-0.9850994509509583,-1.9156763553619385,-1.2381943327239533,1.0176373720169067,0.7405669093132019
1778147909916364319,1778147909.9163644,-2.268561665211813,-0.9850877088359375,-1.9156763553619385,-1.2381902498057862,1.0176416635513306,0.7405550479888916
1778147909936364888,1778147909.936365,-2.2685659567462366,-0.9850834173015137,-1.9156804084777832,-1.2381902498057862,1.0176129341125488,0.7405669093132019
1778147909956341252,1778147909.9563413,-2.268528763447897,-0.9850710195354004,-1.915692687034607,-1.2381659609130402,1.0175838470458984,0.7405549883842468
1778147909976386117,1778147909.976386,-2.268508259450094,-0.9851113718799134,-1.9156763553619385,-1.2381783586791535,1.0176043510437012,0.7405633926391602
1778147909996448408,1778147909.9964485,-2.2685774008380335,-0.9850792449763794,-1.9156640768051147,-1.2382021409324189,1.0176129341125488,0.7405750751495361
1778147910016435611,1778147910.0164359,-2.268524471913473,-0.9850876492312928,-1.9156805276870728,-1.238178328876831,1.0176535844802856,0.7405182719230652
1778147910036497063,1778147910.0364974,-2.268524471913473,-0.9850912255099793,-1.9156640768051147,-1.2381374400905152,1.01762056350708,0.7405829429626465
1778147910056303021,1778147910.0563033,-2.2685611883746546,-0.985079364185669,-1.9156887531280518,-1.2382103365710755,1.0175838470458984,0.7405468225479126
1778147910076299385,1778147910.0762994,-2.2685487906085413,-0.9850710195354004,-1.915684461593628,-1.238161639576294,1.017592430114746,0.7405468225479126
1778147910096416967,1778147910.0964172,-2.2685492674456995,-0.9850877088359375,-1.9156723022460938,-1.2382026773742218,1.0176490545272827,0.740587055683136
1778147910116376562,1778147910.1163766,-2.2685330549823206,-0.9850793045810242,-1.915692687034607,-1.2381825608066102,1.0176043510437012,0.7405829429626465
1778147910136309735,1778147910.1363099,-2.2685654799090784,-0.9850542110255738,-1.9156603813171387,-1.2381456655314942,1.0176653861999512,0.7405829429626465
1778147910156241439,1778147910.1562414,-2.268545452748434,-0.9850877088359375,-1.9156444072723389,-1.2381985646537323,1.0176329612731934,0.7405710220336914
1778147910176355104,1778147910.1763551,-2.268512550984518,-0.9850834173015137,-1.915656328201294,-1.238186703329422,1.017608642578125,0.7406030297279358
1778147910196332549,1778147910.1963327,-2.26854116121401,-0.9850626748851319,-1.9156805276870728,-1.2381902796081086,1.0175474882125854,0.740534245967865
1778147910216250436,1778147910.2162504,-2.2684925238238733,-0.985079364185669,-1.9156681299209595,-1.2381535035422822,1.0176044702529907,0.7405834794044495
1778147910236381217,1778147910.2363813,-2.268545452748434,-0.9850626152804871,-1.9156886339187622,-1.2381742161563416,1.0176290273666382,0.7405343055725098
1778147910256387623,1778147910.2563877,-2.2685535589801233,-0.9850912255099793,-1.915692687034607,-1.2382021409324189,1.0176458358764648,0.7405750751495361
1778147910276294482,1778147910.2762945,-2.268557373677389,-0.9850667280009766,-1.915700912475586,-1.2381701630404969,1.017617106437683,0.7405628561973572
1778147910296410932,1778147910.296411,-2.268528763447897,-0.9851154846004029,-1.9156763553619385,-1.2381742161563416,1.01765775680542,0.7405710220336914
1778147910316426952,1778147910.3164272,-2.2685168425189417,-0.985102967625,-1.9157087802886963,-1.2381535035422822,1.0176770687103271,0.7405994534492493
1778147910336318292,1778147910.3363183,-2.2684806028949183,-0.9850793045810242,-1.9157087802886963,-1.2381575864604493,1.0176119804382324,0.7406030297279358
1778147910356380358,1778147910.3563805,-2.2685492674456995,-0.9850389522365113,-1.9156603813171387,-1.2382069689086457,1.0176576375961304,0.7405591011047363
1778147910376252722,1778147910.376253,-2.2684882322894495,-0.9851197165301819,-1.9156479835510254,-1.238178328876831,1.0176119804382324,0.7405829429626465
1778147910396403738,1778147910.3964038,-2.2685654799090784,-0.9850667876056214,-1.9157164096832275,-1.2382070285132905,1.0176000595092773,0.7405508756637573
1778147910416419877,1778147910.41642,-2.268557850514547,-0.9851036828807374,-1.915700912475586,-1.2381985944560547,1.0176490545272827,0.740587055683136
1778147910436452020,1778147910.4364522,-2.2685330549823206,-0.9850953382304688,-1.9156200885772705,-1.2381943327239533,1.0176329612731934,0.7405751347541809
1778147910461871934,1778147910.461872,-2.2685049215899866,-0.9851280015758057,-1.915696382522583,-1.238170103435852,1.0176490545272827,0.7405383586883545
1778147910476304554,1778147910.4763048,-2.268496815358297,-0.9850953978351136,-1.9156484603881836,-1.2381782990745087,1.0175882577896118,0.7405710816383362
1778147910496362965,1778147910.4963632,-2.268545452748434,-0.9850751918605347,-1.9156320095062256,-1.2382145685008545,1.0175883769989014,0.7405425310134888
1778147910516314044,1778147910.5163143,-2.268528763447897,-0.9850834173015137,-1.915692687034607,-1.2381825906089325,1.0175678730010986,0.7405591011047363
1778147910536396120,1778147910.536396,-2.2684806028949183,-0.9851036828807374,-1.9156242609024048,-1.238178328876831,1.0176044702529907,0.740534245967865
1778147910556328687,1778147910.5563288,-2.268528763447897,-0.9851036828807374,-1.9156723022460938,-1.2381659311107178,1.0176457166671753,0.7405675053596497
1778147910576772255,1778147910.5767725,-2.268484894429342,-0.9850793045810242,-1.9156603813171387,-1.2381582719138642,1.0176373720169067,0.7405911087989807
1778147910596340263,1778147910.5963404,-2.2685368696795862,-0.9851119083217164,-1.9156886339187622,-1.238194302921631,1.017608642578125,0.7405509352684021
1778147910616284904,1778147910.616285,-2.268528763447897,-0.9851559561542054,-1.9156886339187622,-1.2381659311107178,1.017628788948059,0.7406231164932251
1778147910636435513,1778147910.6364355,-2.2685654799090784,-0.9850994509509583,-1.9156681299209595,-1.238174245958664,1.0176289081573486,0.740587055683136
1778147910656420627,1778147910.6564207,-2.2685330549823206,-0.9850877088359375,-1.9156681299209595,-1.2381985944560547,1.017595887184143,0.740578830242157
